N,F0,PER,d0,v0,collision,attack
10,-6,0.01,5.717,28,1,0
9,-8,0.64,8.797,52,1,0
5,-4,0.38,4.43,39,0,0
3,-8,0.05,8.876,13,0,1
8,-2,0.97,8.251,66,1,0
5,-4,0.51,7.736,68,0,0
5,-7,0.74895287,4.6103983,85,0,1
10,-7,0.23,5.183,65,1,0
7,-8,0.31796265,4.2864323,54,1,1
6,-7,0.03,5.509,56,0,0
3,-8,0.47428703,6.4990177,56,1,1
4,-5,0.62,4.557,32,1,0
6,-5,0.54,6.493,50,1,0
5,-2,0.54,4.194,64,0,0
8,-8,0.077272415,8.582577,53,1,1
9,-7,0.33,7.547,49,0,0
6,-7,0.71,6.372,75,1,0
8,-1,0.3314829,5.9791,28,1,1
5,-8,0.39783,6.5698547,63,1,1
